"Article";"Brand";"CrossArticle";"CrossBrand"
"261003";"DTW";"W7DTC";"Bosch"
"261003";"DTW";"0 241 235 633";"Bosch"
"261003";"DTW";"100000001101AC";"Dello"
"261003";"DTW";"107 123 445";"Hans Pries"
"261003";"DTW";"107 123 FR5";"Hans Pries"
"261003";"DTW";"107 123 CN5";"Hans Pries"
"261003";"DTW";"107 123 755";"Hans Pries"
"261003";"DTW";"BP6ET";"NGK"
"261003";"DTW";"BP 5 EK-A";"NGK"
"261003";"DTW";"000 057 067 A";"VAG"
"261003";"DTW";"101 000 001 AC";"VAG"
"261003";"DTW";"101 000 005 AB";"VAG"
"261003";"DTW";"99-75-0006";"Vemo"
"261003";"DTW";"V99-75-0006";"Vemo"
"107 123 FR5";"Hans Pries";"Z75";"Beru"
"107 123 755";"Hans Pries";"14-7DTU";"Beru"
"107 123 755";"Hans Pries";"14G-8DTU";"Beru"
"107 123 FR5";"Hans Pries";"14G-8DTU";"Beru"
"107 123 FR5";"Hans Pries";"Z12";"Beru"
"107 123 CN5";"Hans Pries";"0900004066";"Beru"
"107 123 CN5";"Hans Pries";"14-7DTU";"Beru"
"107 123 CN5";"Hans Pries";"Z75";"Beru"
"107 123 CN5";"Hans Pries";"0001330104";"Beru"
"107 123 CN5";"Hans Pries";"0001335709";"Beru"
"107 123 CN5";"Hans Pries";"Z12";"Beru"
"107 123 FR5";"Hans Pries";"0900004066";"Beru"
"107 123 755";"Hans Pries";"0001330104";"Beru"
"107 123 FR5";"Hans Pries";"14-7DTU";"Beru"
"107 123 755";"Hans Pries";"Z12";"Beru"
"107 123 FR5";"Hans Pries";"0001330104";"Beru"
"107 123 FR5";"Hans Pries";"0001335709";"Beru"
"107 123 755";"Hans Pries";"0900004066";"Beru"
"107 123 445";"Hans Pries";"0001330104";"Beru"
"107 123 755";"Hans Pries";"0001335709";"Beru"
"107 123 445";"Hans Pries";"0001335709";"Beru"
"107 123 445";"Hans Pries";"Z75";"Beru"
"107 123 445";"Hans Pries";"14G-8DTU";"Beru"
"107 123 755";"Hans Pries";"Z75";"Beru"
"107 123 445";"Hans Pries";"Z12";"Beru"
"107 123 445";"Hans Pries";"14-7DTU";"Beru"
"107 123 445";"Hans Pries";"0900004066";"Beru"
"107 123 CN5";"Hans Pries";"14G-8DTU";"Beru"
"107 123 CN5";"Hans Pries";"W7DTC";"Bosch"
"107 123 445";"Hans Pries";"0 241 235 633";"Bosch"
"107 123 FR5";"Hans Pries";"0 241 235 643";"Bosch"
"107 123 445";"Hans Pries";"0 241 235 643";"Bosch"
"107 123 FR5";"Hans Pries";"W7DTC";"Bosch"
"107 123 445";"Hans Pries";"W7DTC";"Bosch"
"107 123 755";"Hans Pries";"W7DTC";"Bosch"
"107 123 CN5";"Hans Pries";"0 241 235 643";"Bosch"
"107 123 CN5";"Hans Pries";"0 241 235 633";"Bosch"
"107 123 755";"Hans Pries";"0 241 235 633";"Bosch"
"107 123 FR5";"Hans Pries";"0 241 235 633";"Bosch"
"107 123 755";"Hans Pries";"0 241 235 643";"Bosch"
"107 123 755";"Hans Pries";"100000001101AC";"Dello"
"107 123 FR5";"Hans Pries";"100000001101AC";"Dello"
"107 123 445";"Hans Pries";"100000001101AC";"Dello"
"107 123 CN5";"Hans Pries";"100000001101AC";"Dello"
"107 123 CN5";"Hans Pries";"261003";"DTW"
"107 123 755";"Hans Pries";"261003";"DTW"
"107 123 445";"Hans Pries";"261003";"DTW"
"107 123 FR5";"Hans Pries";"261003";"DTW"
"107 123 CN5";"Hans Pries";"BP6ET";"NGK"
"107 123 755";"Hans Pries";"BP6ET";"NGK"
"107 123 445";"Hans Pries";"BP6ET";"NGK"
"107 123 755";"Hans Pries";"BP 5 EK-A";"NGK"
"107 123 FR5";"Hans Pries";"BP 5 EK-A";"NGK"
"107 123 CN5";"Hans Pries";"BP 5 EK-A";"NGK"
"107 123 FR5";"Hans Pries";"BP6ET";"NGK"
"107 123 445";"Hans Pries";"BP 5 EK-A";"NGK"
"107 123 755";"Hans Pries";"101 000 001 AC";"VAG"
"107 123 445";"Hans Pries";"000 057 067 A";"VAG"
"107 123 755";"Hans Pries";"101 000 005 AB";"VAG"
"107 123 755";"Hans Pries";"000 057 067 A";"VAG"
"107 123 FR5";"Hans Pries";"101 000 005 AB";"VAG"
"107 123 CN5";"Hans Pries";"101 000 005 AB";"VAG"
"107 123 CN5";"Hans Pries";"000 057 067 A";"VAG"
"107 123 CN5";"Hans Pries";"101 000 001 AC";"VAG"
"107 123 FR5";"Hans Pries";"101 000 001 AC";"VAG"
"107 123 FR5";"Hans Pries";"000 057 067 A";"VAG"
"107 123 445";"Hans Pries";"101 000 001 AC";"VAG"
"107 123 445";"Hans Pries";"101 000 005 AB";"VAG"
"107 123 755";"Hans Pries";"99-75-0006";"Vemo"
"107 123 445";"Hans Pries";"V99-75-0006";"Vemo"
"107 123 CN5";"Hans Pries";"V99-75-0006";"Vemo"
"107 123 CN5";"Hans Pries";"99-75-0006";"Vemo"
"107 123 FR5";"Hans Pries";"V99-75-0006";"Vemo"
"107 123 755";"Hans Pries";"V99-75-0006";"Vemo"
"107 123 FR5";"Hans Pries";"99-75-0006";"Vemo"
"107 123 445";"Hans Pries";"99-75-0006";"Vemo"
"BP6ET";"NGK";"14G-8DTU";"Beru"
"BP6ET";"NGK";"0900004066";"Beru"
"BP6ET";"NGK";"0001335709";"Beru"
"BP 5 EK-A";"NGK";"14G-8DTU";"Beru"
"BP6ET";"NGK";"Z12";"Beru"
"BP 5 EK-A";"NGK";"14-7DTU";"Beru"
"BP 5 EK-A";"NGK";"Z12";"Beru"
"BP6ET";"NGK";"0001330104";"Beru"
"BP6ET";"NGK";"Z75";"Beru"
"BP 5 EK-A";"NGK";"0900004066";"Beru"
"BP6ET";"NGK";"14-7DTU";"Beru"
"BP 5 EK-A";"NGK";"0001330104";"Beru"
"BP 5 EK-A";"NGK";"0001335709";"Beru"
"BP 5 EK-A";"NGK";"Z75";"Beru"
"BP 5 EK-A";"NGK";"0 241 235 643";"Bosch"
"BP 5 EK-A";"NGK";"0 241 235 633";"Bosch"
"BP6ET";"NGK";"0 241 235 633";"Bosch"
"BP 5 EK-A";"NGK";"W7DTC";"Bosch"
"BP6ET";"NGK";"0 241 235 643";"Bosch"
"BP6ET";"NGK";"W7DTC";"Bosch"
"BP6ET";"NGK";"100000001101AC";"Dello"
"BP 5 EK-A";"NGK";"100000001101AC";"Dello"
"BP 5 EK-A";"NGK";"261003";"DTW"
"BP6ET";"NGK";"261003";"DTW"
"BP6ET";"NGK";"107 123 445";"Hans Pries"
"BP 5 EK-A";"NGK";"107 123 445";"Hans Pries"
"BP 5 EK-A";"NGK";"107 123 FR5";"Hans Pries"
"BP6ET";"NGK";"107 123 FR5";"Hans Pries"
"BP 5 EK-A";"NGK";"107 123 CN5";"Hans Pries"
"BP 5 EK-A";"NGK";"107 123 755";"Hans Pries"
"BP6ET";"NGK";"107 123 755";"Hans Pries"
"BP6ET";"NGK";"107 123 CN5";"Hans Pries"
"BP 5 EK-A";"NGK";"000 057 067 A";"VAG"
"BP6ET";"NGK";"101 000 005 AB";"VAG"
"BP6ET";"NGK";"000 057 067 A";"VAG"
"BP 5 EK-A";"NGK";"101 000 005 AB";"VAG"
"BP 5 EK-A";"NGK";"101 000 001 AC";"VAG"
"BP6ET";"NGK";"101 000 001 AC";"VAG"
"BP 5 EK-A";"NGK";"V99-75-0006";"Vemo"
"BP 5 EK-A";"NGK";"99-75-0006";"Vemo"
"BP6ET";"NGK";"99-75-0006";"Vemo"
"BP6ET";"NGK";"V99-75-0006";"Vemo"
"101 000 005 AB";"VAG";"Z12";"Beru"
"000 057 067 A";"VAG";"0001335709";"Beru"
"000 057 067 A";"VAG";"14-7DTU";"Beru"
"000 057 067 A";"VAG";"Z75";"Beru"
"000 057 067 A";"VAG";"14G-8DTU";"Beru"
"101 000 005 AB";"VAG";"0001330104";"Beru"
"101 000 005 AB";"VAG";"0001335709";"Beru"
"101 000 005 AB";"VAG";"0900004066";"Beru"
"101 000 001 AC";"VAG";"Z75";"Beru"
"101 000 001 AC";"VAG";"0001335709";"Beru"
"101 000 001 AC";"VAG";"0001330104";"Beru"
"101 000 005 AB";"VAG";"14G-8DTU";"Beru"
"000 057 067 A";"VAG";"Z12";"Beru"
"000 057 067 A";"VAG";"0900004066";"Beru"
"101 000 001 AC";"VAG";"0900004066";"Beru"
"000 057 067 A";"VAG";"0001330104";"Beru"
"101 000 001 AC";"VAG";"14-7DTU";"Beru"
"101 000 005 AB";"VAG";"14-7DTU";"Beru"
"101 000 005 AB";"VAG";"Z75";"Beru"
"101 000 001 AC";"VAG";"Z12";"Beru"
"101 000 001 AC";"VAG";"14G-8DTU";"Beru"
"000 057 067 A";"VAG";"0 241 235 633";"Bosch"
"101 000 001 AC";"VAG";"0 241 235 633";"Bosch"
"101 000 001 AC";"VAG";"0 241 235 643";"Bosch"
"000 057 067 A";"VAG";"0 241 235 643";"Bosch"
"000 057 067 A";"VAG";"W7DTC";"Bosch"
"101 000 005 AB";"VAG";"0 241 235 643";"Bosch"
"101 000 005 AB";"VAG";"W7DTC";"Bosch"
"101 000 005 AB";"VAG";"0 241 235 633";"Bosch"
"101 000 001 AC";"VAG";"W7DTC";"Bosch"
"000 057 067 A";"VAG";"100000001101AC";"Dello"
"101 000 001 AC";"VAG";"100000001101AC";"Dello"
"101 000 005 AB";"VAG";"100000001101AC";"Dello"
"101 000 001 AC";"VAG";"261003";"DTW"
"000 057 067 A";"VAG";"261003";"DTW"
"101 000 005 AB";"VAG";"261003";"DTW"
"000 057 067 A";"VAG";"107 123 445";"Hans Pries"
"101 000 005 AB";"VAG";"107 123 CN5";"Hans Pries"
"000 057 067 A";"VAG";"107 123 CN5";"Hans Pries"
"101 000 005 AB";"VAG";"107 123 445";"Hans Pries"
"101 000 005 AB";"VAG";"107 123 FR5";"Hans Pries"
"101 000 001 AC";"VAG";"107 123 FR5";"Hans Pries"
"101 000 001 AC";"VAG";"107 123 CN5";"Hans Pries"
"101 000 001 AC";"VAG";"107 123 755";"Hans Pries"
"101 000 005 AB";"VAG";"107 123 755";"Hans Pries"
"000 057 067 A";"VAG";"107 123 755";"Hans Pries"
"000 057 067 A";"VAG";"107 123 FR5";"Hans Pries"
"101 000 001 AC";"VAG";"107 123 445";"Hans Pries"
"000 057 067 A";"VAG";"BP6ET";"NGK"
"101 000 005 AB";"VAG";"BP 5 EK-A";"NGK"
"101 000 005 AB";"VAG";"BP6ET";"NGK"
"000 057 067 A";"VAG";"BP 5 EK-A";"NGK"
"101 000 001 AC";"VAG";"BP6ET";"NGK"
"101 000 001 AC";"VAG";"BP 5 EK-A";"NGK"
"101 000 005 AB";"VAG";"99-75-0006";"Vemo"
"000 057 067 A";"VAG";"99-75-0006";"Vemo"
"101 000 001 AC";"VAG";"99-75-0006";"Vemo"
"101 000 005 AB";"VAG";"V99-75-0006";"Vemo"
"101 000 001 AC";"VAG";"V99-75-0006";"Vemo"
"000 057 067 A";"VAG";"V99-75-0006";"Vemo"
"V99-75-0006";"Vemo";"0001330104";"Beru"
"V99-75-0006";"Vemo";"Z75";"Beru"
"99-75-0006";"Vemo";"14G-8DTU";"Beru"
"V99-75-0006";"Vemo";"0900004066";"Beru"
"V99-75-0006";"Vemo";"14G-8DTU";"Beru"
"99-75-0006";"Vemo";"0001330104";"Beru"
"99-75-0006";"Vemo";"14-7DTU";"Beru"
"V99-75-0006";"Vemo";"14-7DTU";"Beru"
"99-75-0006";"Vemo";"Z75";"Beru"
"V99-75-0006";"Vemo";"0001335709";"Beru"
"99-75-0006";"Vemo";"0001335709";"Beru"
"V99-75-0006";"Vemo";"Z12";"Beru"
